epoch,accuracy,loss,val_accuracy,val_loss
0,0.5323214530944824,1.4901736974716187,0.7896959185600281,0.85145103931427
1,0.8289285898208618,0.6138921976089478,0.869087815284729,0.3800562620162964
2,0.8842856884002686,0.3520874083042145,0.8994932174682617,0.27616778016090393
3,0.9139285683631897,0.2545772194862366,0.9096283912658691,0.23480340838432312
4,0.927142858505249,0.21191547811031342,0.9079391956329346,0.23106366395950317
5,0.947857141494751,0.16062937676906586,0.9146959185600281,0.23086000978946686
6,0.9614285826683044,0.12378882616758347,0.9155405163764954,0.23280492424964905
7,0.9674999713897705,0.10161056369543076,0.9163851141929626,0.23396770656108856
8,0.9750000238418579,0.08152969181537628,0.9214527010917664,0.2317599505186081
9,0.981071412563324,0.0642380490899086,0.9146959185600281,0.2538612186908722
10,0.9844642877578735,0.05342507362365723,0.9239864945411682,0.24265222251415253
